iata nº,Ticket,Fecha,void,Línea,Tarifa,Efectivo,Tarjetas,imp total,iva,Comisión,Neto Final,Total Venta,Over,Exp.,iva,iva com,Comisión,Fact,Ruta
12345678,2618690450,22/09/2015,0,4M,1538.00,1538.00,1538.00,-1538.00,0.00,0.00,1538.00,1538.00,0.00,22944,-1538.00,0.00,0.00,0,COR/IGU/COR
12345678,2618690451,26/09/2015,0,LA,15228.00,15228.00,0.00,0.00,0.00,0.00,15228.00,15228.00,0.00,23065,0.00,0.00,0.00,0,COR/LIM/CUN/LIM/
12345678,9691170532,21/09/2015,0,4M,6438.00,6438.00,0.00,1033.84,0.00,64.38,7258.42,7288.42,128.00,22892,706.41,0.00,64.38,FAC-A-1348,IGR/AEP/BRC
12345678,9691170533,21/09/2015,0,G3,1810.00,1683.00,1800.00,1673.00,0.00,54.30,4062.20,3464.90,0.00,22896,-633.50,0.00,54.30,FAC-A-1346,COR/GRU/COR
12345678,9691170534,21/09/2015,0,KL,10740.00,10740.00,0.00,12090.20,0.00,107.40,27676.97,22403.82,531.00,22897,-5485.80,0.00,107.40,FAC-A-1345,EZE/AMS/EZE
12345678,9691170535,21/09/2015,0,AR,5956.00,5956.00,0.00,3297.00,0.00,178.68,11158.92,9074.32,0.00,22936,-2084.60,0.00,178.68,0,COR/AEP/FLN/AE
12345678,9691170536,21/09/2015,0,AR,5956.00,5956.00,0.00,3297.00,0.00,178.68,11158.92,9074.32,0.00,22936,-2084.60,0.00,178.68,0,COR/AEP/FLN/AE
12345678,9691170537,21/09/2015,1,4M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,VOID,0.00,0.00,0.00,0,COR/AEP/COR
12345678,9691170538,21/09/2015,0,AR,1574.00,0.00,1574.00,318.98,0.00,47.22,1840.80,1870.80,0.00,22901,172.71,0.00,47.22,FAC-A-1351,COR/EZE/COR
12345678,9691170539,21/09/2015,0,AR,1574.00,0.00,1574.00,318.98,0.00,47.22,1840.80,1870.80,0.00,22901,172.71,0.00,47.22,FAC-A-1351,COR/EZE/COR
12345678,9691170540,21/09/2015,1,AR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,VOID,0.00,0.00,0.00,0,TUC/AEP/GIG/EZE
12345678,9691170542,21/09/2015,0,LA,9380.00,9380.00,0.00,4586.16,0.00,0.00,17249.16,13966.16,0.00,22914,-3283.00,0.00,0.00,0,COR/LIM/HAV/LIM
