IATA Nº,Nº TICKET,FECHA,VOID,CIA,TARIFA,CONTADO,CREDITO,IMPUESTOS,IVA,COMISION,SUBTOTAL,NETO,OVER,FILE,(IVA),IVA COM,COMISION
12345678,9236074756,31-Mar,P,4M,     8114.00,0.00,     8114.00,4538.10,0.00,0.00,0.00,0.00,0.00,153617,0.00,0.00,0.00
12345678,9236074757,31-Mar,P,4M,     8114.00,0.00,     8114.00,4538.10,0.00,0.00,0.00,0.00,0.00,153825,0.00,0.00,0.00
12345678,9236074758,31-Mar,P,4M,     8114.00,0.00,     8114.00,4538.10,0.00,0.00,0.00,0.00,0.00,153617,0.00,0.00,0.00
12345678,9236074759,31-Mar,P,4M,     8114.00,0.00,     8114.00,4538.10,0.00,0.00,0.00,0.00,0.00,153825,0.00,0.00,0.00
12345678,9236074785,01-Abr,P,4M,     1801.00,     1801.00,0.00,348.43,0.00,     18.01,     2131.42,0.00,     39.80,153890,    191.94,0.00,     18.01
12345678,9236074786,01-Abr,P,4M,     1801.00,     1801.00,0.00,348.43,0.00,     18.01,     2131.42,0.00,     39.80,153890,    191.94,0.00,     18.01
12345678,9236074787,01-Abr,P,4M,     1801.00,     1801.00,0.00,348.43,0.00,     18.01,     2131.42,0.00,     39.80,153890,    191.94,0.00,     18.01
12345678,1,01-Abr,P,AA,    13036.00,    13036.00,0.00,6383.30,0.00,    391.08,    19028.22,0.00,0.00,153888,0.00,0.00,    391.08
12345678,2618676298,01-Abr,P,AF,0.00,0.00,0.00,1429.40,0.00,0.00,     1429.40,0.00,0.00,153901,0.00,0.00,0.00
12345678,9236088206,01-Abr,P,AF,0.00,0.00,0.00,271.40,0.00,0.00,      271.40,0.00,0.00,153901,0.00,0.00,0.00
12345678,9236057710,30-Mar,P,AR,     2134.00,       -6.72,     2506.18,365.46,0.00,     64.02,      -70.74,0.00,0.00,153741,    227.43,0.00,     64.02
12345678,9236057711,30-Mar,P,AR,     3092.00,     3092.00,0.00,2095.80,0.00,0.00,     5187.80,0.00,0.00,153486,0.00,0.00,0.00
12345678,9236057712,30-Mar,P,AR,     3092.00,     3092.00,0.00,2095.80,0.00,0.00,     5187.80,0.00,0.00,153486,0.00,0.00,0.00
12345678,9236057717,30-Mar,P,AR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,153924,0.00,0.00,0.00
12345678,9236057721,30-Mar,P,AR,     8370.00,     8370.00,0.00,4376.60,0.00,0.00,    12746.60,0.00,0.00,153665,0.00,0.00,0.00
12345678,9236057722,30-Mar,P,AR,     8370.00,0.00,     8370.00,4376.60,0.00,0.00,0.00,0.00,0.00,153665,0.00,0.00,0.00
12345678,9236057723,30-Mar,P,AR,     7577.00,0.00,     7577.00,4059.50,0.00,0.00,0.00,0.00,0.00,153665,0.00,0.00,0.00
12345678,9236057724,30-Mar,P,AR,     7489.00,0.00,     7489.00,4286.70,0.00,0.00,0.00,0.00,0.00,153767,0.00,0.00,0.00
12345678,9236057725,30-Mar,P,AR,     7489.00,0.00,     7489.00,4286.70,0.00,0.00,0.00,0.00,0.00,153767,0.00,0.00,0.00
12345678,9236057726,30-Mar,P,AR,     6916.00,      249.10,    10724.30,4057.40,0.00,0.00,      249.10,0.00,0.00,153767,0.00,0.00,0.00
12345678,9236057727,30-Mar,P,AR,     6916.00,      249.10,    10724.30,4057.40,0.00,0.00,      249.10,0.00,0.00,153767,0.00,0.00,0.00
12345678,9236057728,30-Mar,P,AR,     7489.00,0.00,     7489.00,4286.70,0.00,0.00,0.00,0.00,0.00,153767,0.00,0.00,0.00
12345678,9236057729,30-Mar,P,AR,     7489.00,0.00,     7489.00,4286.70,0.00,0.00,0.00,0.00,0.00,153767,0.00,0.00,0.00
12345678,9236057730,30-Mar,P,AR,     6916.00,     4524.80,     6448.60,4057.40,0.00,0.00,     4524.80,0.00,0.00,153767,0.00,0.00,0.00
